date,centre_id,nb_colis_entree,nb_colis_sortie,volume_moyen,temperature_max,temperature_min,precipitation,windspeed_max,is_holiday,day_of_week,month,day_of_month,is_weekend
2023-01-01,1,730,645,1.29,15.5,12.0,2.0,30.5,1,6,1,1,1
2023-01-02,1,1016,914,1.41,15.5,6.9,7.4,29.2,0,0,1,2,0
2023-01-03,1,1045,951,1.97,9.9,5.8,1.0,26.3,0,1,1,3,0
2023-01-04,1,1025,899,2.15,13.2,9.6,3.4,28.9,0,2,1,4,0
2023-01-05,1,941,853,3.53,13.8,11.4,0.4,24.5,0,3,1,5,0
2023-01-06,1,1045,964,2.06,13.0,9.9,0.0,25.0,0,4,1,6,0
2023-01-07,1,725,679,2.02,11.2,6.3,1.2,29.6,0,5,1,7,1
2023-01-08,1,659,591,1.46,10.6,8.3,4.4,25.6,0,6,1,8,1
2023-01-09,1,995,895,2.52,8.3,5.6,0.8,32.2,0,0,1,9,0
2023-01-10,1,981,912,2.01,11.8,4.1,3.0,28.3,0,1,1,10,0
2023-01-11,1,962,873,2.24,12.5,9.0,9.1,27.7,0,2,1,11,0
2023-01-12,1,961,867,2.53,12.1,9.3,0.6,31.8,0,3,1,12,0
2023-01-13,1,959,842,1.24,11.3,7.3,2.1,32.6,0,4,1,13,0
2023-01-14,1,701,619,1.95,12.7,7.2,8.5,35.3,0,5,1,14,1
2023-01-15,1,677,616,2.04,9.9,5.1,3.3,36.3,0,6,1,15,1
2023-01-16,1,1027,904,2.45,6.6,2.3,9.2,43.2,0,0,1,16,0
2023-01-17,1,905,792,1.44,3.3,-0.4,3.7,13.5,0,1,1,17,0
2023-01-18,1,1002,929,1.69,5.1,-1.7,0.1,17.1,0,2,1,18,0
2023-01-19,1,955,842,2.15,3.5,-1.0,4.1,12.0,0,3,1,19,0
2023-01-20,1,985,903,1.76,6.1,-1.5,0.2,21.1,0,4,1,20,0
2023-01-21,1,698,614,2.05,3.8,-1.4,0.1,23.4,0,5,1,21,1
2023-01-22,1,642,572,1.42,3.3,-1.0,0.0,22.2,0,6,1,22,1
