date,temperature_max,temperature_min,precipitation,windspeed_max
2023-01-01,15.5,12.0,2.0,30.5
2023-01-02,15.5,6.9,7.4,29.2
2023-01-03,9.9,5.8,1.0,26.3
2023-01-04,13.2,9.6,3.4,28.9
2023-01-05,13.8,11.4,0.4,24.5
2023-01-06,13.0,9.9,0.0,25.0
2023-01-07,11.2,6.3,1.2,29.6
2023-01-08,10.6,8.3,4.4,25.6
2023-01-09,8.3,5.6,0.8,32.2
2023-01-10,11.8,4.1,3.0,28.3
2023-01-11,12.5,9.0,9.1,27.7
2023-01-12,12.1,9.3,0.6,31.8
2023-01-13,11.3,7.3,2.1,32.6
2023-01-14,12.7,7.2,8.5,35.3
2023-01-15,9.9,5.1,3.3,36.3
2023-01-16,6.6,2.3,9.2,43.2
2023-01-17,3.3,-0.4,3.7,13.5
2023-01-18,5.1,-1.7,0.1,17.1
2023-01-19,3.5,-1.0,4.1,12.0
2023-01-20,6.1,-1.5,0.2,21.1
2023-01-21,3.8,-1.4,0.1,23.4
2023-01-22,3.3,-1.0,0.0,22.2
2023-01-23,3.7,0.5,0.0,22.6
2023-01-24,3.6,-1.1,0.0,19.7
2023-01-25,2.6,0.8,0.0,13.2
2023-01-26,4.7,0.3,0.6,17.7
2023-01-27,4.7,3.3,0.3,22.4
2023-01-28,3.7,-1.2,0.0,20.2
2023-01-29,4.9,-3.3,0.0,13.3
2023-01-30,9.0,3.3,0.0,20.2
2023-01-31,8.2,0.6,0.0,20.5
2023-02-01,9.8,6.1,0.0,24.8
2023-02-02,10.6,4.7,0.0,24.4
2023-02-03,10.2,6.8,0.0,21.1
2023-02-04,10.9,7.8,0.5,14.0
2023-02-05,9.4,4.2,0.1,23.1
2023-02-06,7.0,0.5,0.0,15.7
2023-02-07,6.3,-0.8,0.0,14.8
2023-02-08,6.0,-3.6,0.0,9.8
2023-02-09,6.9,-5.0,0.0,9.8
2023-02-10,9.6,-0.4,0.0,11.0
2023-02-11,8.8,-0.5,0.0,7.4
2023-02-12,9.3,5.9,0.0,15.3
2023-02-13,11.9,-0.8,0.0,9.4
2023-02-14,12.0,-0.1,0.0,10.4
2023-02-15,12.9,-0.7,0.0,12.4
2023-02-16,11.6,3.9,1.3,17.7
2023-02-17,14.8,10.7,0.3,23.7
2023-02-18,12.5,9.3,0.1,23.9
2023-02-19,12.0,5.7,0.0,19.2
2023-02-20,12.1,2.6,0.0,10.3
2023-02-21,14.0,0.8,0.0,8.6
2023-02-22,10.6,6.8,5.5,15.7
2023-02-23,10.1,5.5,0.1,15.8
2023-02-24,10.5,4.7,0.0,17.0
2023-02-25,7.9,1.6,0.0,22.9
2023-02-26,5.2,-0.9,0.0,31.9
2023-02-27,6.5,-1.4,0.0,26.2
2023-02-28,5.2,-2.3,0.0,21.0
2023-03-01,7.3,-2.3,0.0,19.5
2023-03-02,9.4,-2.1,0.0,14.1
2023-03-03,9.2,-0.2,0.0,16.7
2023-03-04,6.8,-1.1,0.0,19.2
2023-03-05,7.3,3.0,0.3,8.0
2023-03-06,7.7,1.9,0.6,17.3
2023-03-07,8.9,3.3,0.3,23.8
2023-03-08,14.1,5.5,18.0,32.9
2023-03-09,14.7,8.9,6.2,31.7
2023-03-10,11.1,4.7,1.9,42.6
2023-03-11,7.3,1.3,3.6,13.9
2023-03-12,14.2,6.6,4.1,24.1
2023-03-13,15.8,11.0,2.1,31.6
2023-03-14,10.6,3.8,5.4,36.8
2023-03-15,10.9,2.3,0.4,11.6
2023-03-16,15.9,5.0,0.0,18.5
2023-03-17,15.9,8.1,7.7,25.3
2023-03-18,15.2,8.8,5.1,23.3
2023-03-19,11.2,4.3,2.0,18.8
2023-03-20,13.3,2.0,0.0,11.8
2023-03-21,14.8,8.3,1.2,21.6
2023-03-22,14.0,8.2,8.1,31.9
2023-03-23,15.9,11.2,1.3,29.5
2023-03-24,15.0,9.7,1.8,36.6
2023-03-25,13.7,8.5,0.2,35.4
2023-03-26,11.5,8.0,7.0,35.5
2023-03-27,9.7,3.7,0.1,21.0
2023-03-28,11.2,3.2,0.6,19.7
2023-03-29,19.6,9.1,0.5,22.2
2023-03-30,15.9,11.6,3.1,28.4
2023-03-31,14.6,10.3,3.7,38.1
2023-04-01,13.4,9.2,2.6,33.2
2023-04-02,9.5,7.1,0.6,24.7
2023-04-03,11.8,3.7,0.0,20.5
2023-04-04,10.8,0.8,0.0,16.4
2023-04-05,13.9,-0.4,0.0,8.1
2023-04-06,14.4,7.9,1.4,24.2
2023-04-07,14.1,5.4,0.4,14.4
2023-04-08,14.3,2.8,0.0,13.0
2023-04-09,17.3,2.8,0.0,11.5
2023-04-10,16.9,7.9,5.3,30.6
2023-04-11,13.2,7.8,5.8,22.5
2023-04-12,12.9,8.4,9.4,31.4
2023-04-13,11.9,5.9,5.1,30.2
2023-04-14,9.1,4.2,6.3,25.4
2023-04-15,12.7,7.0,11.5,25.1
2023-04-16,14.8,2.8,0.0,22.4
2023-04-17,12.5,3.5,0.1,21.4
2023-04-18,15.3,6.1,2.7,22.4
2023-04-19,18.2,7.2,0.0,21.6
2023-04-20,12.2,5.3,0.2,22.9
2023-04-21,13.2,1.3,0.5,8.7
2023-04-22,17.2,5.0,7.1,21.4
2023-04-23,14.6,8.8,6.0,39.0
2023-04-24,14.2,6.9,5.2,22.4
2023-04-25,11.6,5.5,0.9,17.3
2023-04-26,11.9,4.8,1.3,8.7
2023-04-27,18.4,7.0,1.2,13.1
2023-04-28,21.0,13.1,5.8,18.4
2023-04-29,15.8,8.4,0.2,14.1
2023-04-30,17.2,7.7,0.0,13.4
2023-05-01,15.9,9.5,3.7,19.0
2023-05-02,17.2,7.3,0.4,14.7
2023-05-03,19.7,6.5,0.0,18.1
2023-05-04,22.4,11.0,1.2,19.8
2023-05-05,18.5,12.6,4.2,19.9
2023-05-06,20.1,11.5,4.5,12.6
2023-05-07,18.5,13.4,18.0,16.6
2023-05-08,18.9,10.3,0.0,11.5
2023-05-09,16.9,12.6,17.0,22.6
2023-05-10,16.8,9.4,6.4,21.7
2023-05-11,16.4,8.9,6.1,13.8
2023-05-12,15.1,9.0,1.0,19.6
2023-05-13,20.3,10.2,12.2,21.3
2023-05-14,18.9,8.5,0.0,14.4
2023-05-15,16.0,8.1,4.8,19.9
2023-05-16,15.2,5.9,0.0,24.1
2023-05-17,16.1,6.4,0.1,22.9
2023-05-18,17.1,6.8,0.0,19.2
2023-05-19,19.2,7.5,0.0,19.4
2023-05-20,20.0,12.0,0.2,20.7
2023-05-21,21.2,12.5,0.0,20.4
2023-05-22,21.4,11.7,0.0,19.1
2023-05-23,18.9,11.5,0.1,22.6
2023-05-24,19.1,7.7,0.0,23.1
2023-05-25,20.2,10.3,0.0,23.9
2023-05-26,21.5,10.0,0.0,20.5
2023-05-27,23.7,11.5,0.0,16.3
2023-05-28,25.4,12.3,0.0,21.7
2023-05-29,23.4,13.3,0.0,26.6
2023-05-30,21.8,11.8,0.0,24.5
2023-05-31,25.5,11.9,0.0,23.0
2023-06-01,26.2,14.2,0.0,21.6
2023-06-02,20.2,9.8,0.0,21.9
2023-06-03,24.1,10.8,0.0,19.4
2023-06-04,25.3,13.4,0.0,20.2
2023-06-05,25.5,13.2,0.0,20.1
2023-06-06,25.6,12.5,0.0,17.7
2023-06-07,27.3,14.0,0.2,18.7
2023-06-08,27.3,14.5,0.0,17.5
2023-06-09,29.7,15.8,0.0,19.3
2023-06-10,27.6,17.9,0.5,14.3
2023-06-11,25.0,18.5,25.5,15.4
2023-06-12,26.3,16.7,1.0,16.8
2023-06-13,28.2,16.0,0.0,19.6
2023-06-14,28.2,13.7,0.0,13.4
2023-06-15,27.9,14.9,0.0,11.2
2023-06-16,29.3,14.4,0.0,11.8
2023-06-17,30.7,17.5,0.6,14.5
2023-06-18,30.0,18.9,2.8,21.8
2023-06-19,24.7,15.8,1.0,12.3
2023-06-20,26.9,17.9,1.7,22.2
2023-06-21,27.5,16.2,3.8,12.3
2023-06-22,23.7,17.6,19.4,21.9
2023-06-23,26.8,13.8,0.2,14.8
2023-06-24,27.8,15.1,0.0,10.5
2023-06-25,31.4,16.9,0.0,22.7
2023-06-26,23.3,15.7,0.0,19.3
2023-06-27,24.9,13.7,0.0,16.4
2023-06-28,25.5,15.4,0.8,11.0
2023-06-29,25.3,19.4,0.8,20.1
2023-06-30,24.6,15.6,0.4,23.6
2023-07-01,23.2,17.0,2.6,26.8
2023-07-02,23.5,14.0,0.0,20.6
2023-07-03,24.7,15.1,0.8,21.3
2023-07-04,22.4,12.6,4.0,24.5
2023-07-05,21.9,11.9,0.8,26.5
2023-07-06,25.8,12.5,0.1,11.5
2023-07-07,30.4,14.5,0.0,20.5
2023-07-08,32.8,20.1,0.4,14.9
2023-07-09,27.7,20.3,7.9,17.6
2023-07-10,29.0,16.8,0.0,13.5
2023-07-11,31.6,17.5,0.1,18.9
2023-07-12,25.0,17.3,3.6,17.3
2023-07-13,24.2,16.2,0.2,19.9
2023-07-14,30.6,15.0,0.4,25.7
2023-07-15,25.4,20.3,1.5,30.8
2023-07-16,25.0,15.6,0.0,26.4
2023-07-17,24.9,14.0,0.0,19.9
2023-07-18,28.7,14.0,0.0,13.5
2023-07-19,24.4,16.6,0.0,21.1
2023-07-20,25.7,13.8,0.0,14.5
2023-07-21,24.4,15.1,2.0,19.2
2023-07-22,25.6,13.1,0.0,23.3
2023-07-23,24.0,17.1,6.8,31.6
2023-07-24,23.3,17.2,14.1,26.0
2023-07-25,20.2,14.9,15.6,17.3
2023-07-26,23.2,12.1,0.2,17.4
2023-07-27,22.8,17.6,17.1,28.2
2023-07-28,24.1,17.9,7.9,17.3
2023-07-29,23.1,16.9,5.9,19.4
2023-07-30,22.6,14.5,0.1,22.3
2023-07-31,22.5,16.8,8.0,31.1
2023-08-01,21.7,15.7,2.4,30.1
2023-08-02,23.1,16.9,23.4,44.3
2023-08-03,18.7,16.0,5.5,32.2
2023-08-04,21.0,14.3,3.4,15.1
2023-08-05,19.2,12.7,6.4,30.7
2023-08-06,19.2,13.3,1.6,30.2
2023-08-07,21.4,12.2,0.3,16.1
2023-08-08,22.9,14.3,0.6,16.7
2023-08-09,23.1,16.3,0.0,15.4
2023-08-10,25.9,13.9,0.0,12.8
2023-08-11,27.3,17.3,3.3,14.9
2023-08-12,25.5,19.3,4.5,19.7
2023-08-13,23.1,16.0,0.0,16.4
2023-08-14,26.8,15.6,2.1,18.9
2023-08-15,23.9,16.5,0.7,11.9
2023-08-16,25.9,15.9,0.1,12.1
2023-08-17,27.5,17.0,0.8,13.4
2023-08-18,31.1,17.8,0.3,12.0
2023-08-19,26.8,20.0,7.0,14.5
2023-08-20,29.4,17.2,0.4,15.0
2023-08-21,27.3,16.5,0.0,11.7
2023-08-22,29.3,16.3,0.0,12.4
2023-08-23,30.7,17.6,0.0,12.4
2023-08-24,26.2,19.8,18.1,20.5
2023-08-25,22.8,17.6,23.2,17.9
2023-08-26,21.4,14.1,0.8,21.7
2023-08-27,21.1,12.5,1.1,19.9
2023-08-28,20.7,13.4,1.7,12.0
2023-08-29,20.6,11.3,1.0,12.2
2023-08-30,20.0,12.9,2.6,20.5
2023-08-31,19.0,12.6,16.2,21.7
2023-09-01,23.4,16.7,3.2,21.6
2023-09-02,27.8,15.5,1.6,15.5
2023-09-03,29.7,17.4,0.0,15.4
2023-09-04,29.2,17.0,0.0,18.7
2023-09-05,32.1,17.8,0.0,10.5
2023-09-06,32.0,17.3,0.0,11.0
2023-09-07,30.8,14.9,0.0,10.5
2023-09-08,34.0,18.8,0.0,9.7
2023-09-09,34.0,19.2,0.0,12.3
2023-09-10,33.8,20.1,0.0,12.1
2023-09-11,26.8,19.0,0.9,13.4
2023-09-12,20.6,16.9,20.8,9.7
2023-09-13,21.7,16.4,1.2,10.2
2023-09-14,23.5,13.6,0.1,8.0
2023-09-15,26.2,12.8,0.0,9.6
2023-09-16,24.4,13.3,0.0,10.0
2023-09-17,24.5,17.1,6.2,16.8
