date,centre_id,nb_colis_entree,nb_colis_sortie,volume_moyen
2023-01-01,1,730,645,1.29
2023-01-02,1,1016,914,1.41
2023-01-03,1,1045,951,1.97
2023-01-04,1,1025,899,2.15
2023-01-05,1,941,853,3.53
2023-01-06,1,1045,964,2.06
2023-01-07,1,725,679,2.02
2023-01-08,1,659,591,1.46
2023-01-09,1,995,895,2.52
2023-01-10,1,981,912,2.01
2023-01-11,1,962,873,2.24
2023-01-12,1,961,867,2.53
2023-01-13,1,959,842,1.24
2023-01-14,1,701,619,1.95
2023-01-15,1,677,616,2.04
2023-01-16,1,1027,904,2.45
2023-01-17,1,905,792,1.44
2023-01-18,1,1002,929,1.69
2023-01-19,1,955,842,2.15
2023-01-20,1,985,903,1.76
2023-01-21,1,698,614,2.05
2023-01-22,1,642,572,1.42
2023-01-23,1,1027,912,2.5
2023-01-24,1,976,893,2.18
2023-01-25,1,1029,972,1.61
2023-01-26,1,1029,910,0.97
2023-01-27,1,974,891,1.68
2023-01-28,1,758,714,2.42
2023-01-29,1,702,615,1.56
2023-01-30,1,943,854,2.29
2023-01-31,1,955,860,1.48
2023-02-01,1,991,901,1.08
2023-02-02,1,965,899,1.72
2023-02-03,1,944,851,1.72
2023-02-04,1,732,640,2.22
2023-02-05,1,631,559,2.53
2023-02-06,1,1018,915,1.59
2023-02-07,1,1018,902,2.23
2023-02-08,1,1099,1030,1.67
2023-02-09,1,1009,907,1.65
2023-02-10,1,1007,948,1.51
2023-02-11,1,659,589,0.8
2023-02-12,1,767,661,2.74
2023-02-13,1,1026,873,1.72
2023-02-14,1,1041,914,1.71
2023-02-15,1,1009,881,2.17
2023-02-16,1,999,919,1.73
2023-02-17,1,993,880,1.96
2023-02-18,1,620,577,1.93
2023-02-19,1,699,616,2.42
2023-02-20,1,968,872,2.38
2023-02-21,1,1045,929,2.01
2023-02-22,1,953,847,1.97
2023-02-23,1,953,873,2.27
2023-02-24,1,942,833,2.54
2023-02-25,1,661,603,1.68
2023-02-26,1,697,639,1.85
2023-02-27,1,1019,930,2.5
2023-02-28,1,1060,942,2.0
2023-03-01,1,946,848,1.87
2023-03-02,1,1021,947,1.45
2023-03-03,1,941,863,2.18
2023-03-04,1,726,653,2.34
2023-03-05,1,642,584,2.1
2023-03-06,1,1015,930,2.18
2023-03-07,1,958,873,2.3
2023-03-08,1,998,917,2.35
2023-03-09,1,906,790,1.01
2023-03-10,1,998,870,1.75
2023-03-11,1,647,576,1.73
2023-03-12,1,637,570,2.27
2023-03-13,1,927,829,0.62
2023-03-14,1,987,872,2.09
2023-03-15,1,931,849,1.86
2023-03-16,1,999,926,1.52
2023-03-17,1,955,842,1.4
2023-03-18,1,774,709,1.15
2023-03-19,1,740,641,1.55
2023-03-20,1,989,871,2.69
2023-03-21,1,993,873,2.76
2023-03-22,1,1018,910,2.92
2023-03-23,1,998,886,2.29
2023-03-24,1,972,867,2.18
2023-03-25,1,721,643,1.94
2023-03-26,1,684,612,2.13
2023-03-27,1,910,782,1.93
2023-03-28,1,1009,918,2.44
2023-03-29,1,1044,916,1.53
2023-03-30,1,983,894,1.24
2023-03-31,1,1010,910,1.66
2023-04-01,1,673,577,2.36
2023-04-02,1,687,599,1.78
2023-04-03,1,923,809,1.92
2023-04-04,1,1018,920,1.7
2023-04-05,1,991,893,1.88
2023-04-06,1,942,830,2.69
2023-04-07,1,910,823,1.43
2023-04-08,1,658,581,2.32
2023-04-09,1,715,654,2.08
2023-04-10,1,971,865,2.57
2023-04-11,1,924,822,1.0
2023-04-12,1,949,839,2.49
2023-04-13,1,959,866,2.47
2023-04-14,1,970,865,1.87
2023-04-15,1,596,526,1.22
2023-04-16,1,693,602,2.31
2023-04-17,1,970,862,2.39
2023-04-18,1,1064,968,1.38
2023-04-19,1,967,875,2.36
2023-04-20,1,910,816,0.85
2023-04-21,1,967,888,2.62
2023-04-22,1,628,571,2.16
2023-04-23,1,742,657,2.31
2023-04-24,1,905,797,1.19
2023-04-25,1,1054,971,1.6
2023-04-26,1,1007,911,2.04
2023-04-27,1,967,877,2.4
2023-04-28,1,996,907,1.89
2023-04-29,1,680,622,1.91
2023-04-30,1,718,627,1.67
2023-05-01,1,1001,882,2.15
2023-05-02,1,997,880,2.38
2023-05-03,1,1044,955,2.39
2023-05-04,1,1035,890,1.54
2023-05-05,1,1000,931,2.03
2023-05-06,1,718,635,2.35
2023-05-07,1,745,651,1.57
2023-05-08,1,1005,899,1.1
2023-05-09,1,959,854,3.14
2023-05-10,1,907,828,2.52
2023-05-11,1,979,866,2.29
2023-05-12,1,908,833,2.23
2023-05-13,1,681,611,1.87
2023-05-14,1,646,584,1.69
2023-05-15,1,963,857,2.35
2023-05-16,1,905,828,2.72
2023-05-17,1,1024,932,1.18
2023-05-18,1,984,882,2.2
2023-05-19,1,950,812,1.67
2023-05-20,1,692,623,1.99
2023-05-21,1,695,620,2.19
2023-05-22,1,873,792,2.59
2023-05-23,1,969,892,2.05
2023-05-24,1,1015,924,2.02
2023-05-25,1,1025,930,2.1
2023-05-26,1,1009,920,1.84
2023-05-27,1,669,608,2.34
2023-05-28,1,715,620,1.67
2023-05-29,1,1024,952,2.22
2023-05-30,1,1037,951,3.0
2023-05-31,1,997,897,1.38
2023-06-01,1,915,816,1.95
2023-06-02,1,807,721,1.7
2023-06-03,1,586,525,0.63
2023-06-04,1,658,599,1.56
2023-06-05,1,860,759,2.47
2023-06-06,1,908,832,1.31
2023-06-07,1,895,789,1.91
2023-06-08,1,923,854,2.68
2023-06-09,1,990,877,1.54
2023-06-10,1,616,565,2.24
2023-06-11,1,621,556,1.31
2023-06-12,1,748,662,2.26
2023-06-13,1,941,884,2.27
2023-06-14,1,841,785,2.45
2023-06-15,1,941,847,2.56
2023-06-16,1,838,747,1.59
2023-06-17,1,630,544,2.62
2023-06-18,1,682,616,2.29
2023-06-19,1,996,895,2.1
2023-06-20,1,822,728,1.26
2023-06-21,1,910,831,2.37
2023-06-22,1,807,697,2.78
2023-06-23,1,889,825,2.26
2023-06-24,1,642,558,1.71
2023-06-25,1,605,545,1.55
2023-06-26,1,925,835,2.22
2023-06-27,1,897,833,2.41
2023-06-28,1,938,822,2.18
2023-06-29,1,836,750,1.2
2023-06-30,1,871,773,1.99
2023-07-01,1,601,536,2.51
2023-07-02,1,609,544,2.07
2023-07-03,1,867,790,2.85
2023-07-04,1,831,735,1.84
2023-07-05,1,885,780,1.45
2023-07-06,1,864,764,2.3
2023-07-07,1,885,789,2.39
2023-07-08,1,673,605,2.45
2023-07-09,1,589,512,2.59
2023-07-10,1,887,778,1.41
2023-07-11,1,920,802,2.55
2023-07-12,1,926,805,1.62
2023-07-13,1,907,815,1.41
2023-07-14,1,911,826,2.33
2023-07-15,1,641,580,1.78
2023-07-16,1,601,539,1.58
2023-07-17,1,855,795,1.65
2023-07-18,1,922,824,1.58
2023-07-19,1,916,831,1.22
2023-07-20,1,861,741,1.26
2023-07-21,1,864,776,2.3
2023-07-22,1,629,570,1.06
2023-07-23,1,633,561,1.69
2023-07-24,1,929,825,2.24
2023-07-25,1,863,763,1.97
2023-07-26,1,848,758,1.52
2023-07-27,1,911,826,2.46
2023-07-28,1,927,865,2.55
2023-07-29,1,582,526,2.18
2023-07-30,1,631,555,2.5
2023-07-31,1,963,868,3.1
2023-08-01,1,895,805,2.06
2023-08-02,1,916,806,1.61
2023-08-03,1,874,811,2.48
2023-08-04,1,841,773,2.56
2023-08-05,1,602,548,1.84
2023-08-06,1,619,567,2.25
2023-08-07,1,822,740,2.12
2023-08-08,1,856,759,2.76
2023-08-09,1,902,800,2.07
2023-08-10,1,873,749,1.69
2023-08-11,1,913,820,1.32
2023-08-12,1,642,580,3.3
2023-08-13,1,553,492,1.59
2023-08-14,1,971,869,1.72
2023-08-15,1,757,686,1.24
2023-08-16,1,896,811,2.35
2023-08-17,1,823,733,3.24
2023-08-18,1,820,766,1.26
2023-08-19,1,608,574,1.78
2023-08-20,1,612,538,1.84
2023-08-21,1,927,817,1.56
2023-08-22,1,919,841,2.58
2023-08-23,1,915,826,1.69
2023-08-24,1,927,844,2.58
2023-08-25,1,921,836,1.07
2023-08-26,1,686,606,2.47
2023-08-27,1,686,620,1.32
2023-08-28,1,892,811,1.81
2023-08-29,1,867,784,2.28
2023-08-30,1,876,798,1.77
2023-08-31,1,894,785,2.87
2023-09-01,1,990,913,1.82
2023-09-02,1,585,537,2.65
2023-09-03,1,732,677,1.63
2023-09-04,1,993,909,1.75
2023-09-05,1,1016,926,1.3
2023-09-06,1,908,810,2.04
2023-09-07,1,1010,897,1.06
2023-09-08,1,928,836,2.06
2023-09-09,1,683,619,2.71
2023-09-10,1,675,605,2.02
2023-09-11,1,1091,1004,2.71
2023-09-12,1,987,874,2.51
2023-09-13,1,985,891,2.31
2023-09-14,1,1016,933,2.35
2023-09-15,1,1040,937,1.48
2023-09-16,1,704,629,2.77
2023-09-17,1,691,639,2.57
2023-09-18,1,1039,958,1.51
2023-09-19,1,992,880,2.82
2023-09-20,1,945,787,1.4
2023-09-21,1,984,891,1.31
2023-09-22,1,945,835,1.83
2023-09-23,1,780,709,2.18
2023-09-24,1,719,644,3.03
2023-09-25,1,971,869,2.1
2023-09-26,1,1034,938,2.69
2023-09-27,1,965,861,1.57
2023-09-28,1,980,882,0.92
2023-09-29,1,977,879,2.49
2023-09-30,1,721,656,1.98
2023-10-01,1,673,591,1.49
2023-10-02,1,938,807,2.17
2023-10-03,1,1000,911,2.61
2023-10-04,1,1023,918,2.18
2023-10-05,1,1056,935,1.65
2023-10-06,1,1022,900,1.86
2023-10-07,1,716,631,1.89
2023-10-08,1,708,626,2.17
2023-10-09,1,1012,922,2.17
2023-10-10,1,953,867,2.24
2023-10-11,1,1016,914,2.4
2023-10-12,1,1039,895,1.7
